codigo,fid,id,Direccion,Nombre,Estado,Nombre2,VERIFICADO,SINNOMBRE,FUNCIONAL,icon_url
"111","111",,Ambos ,RODRIGUEZ DE FRANCIA,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"112","112",,Ambos ,JOSE F. ESTIGARRIBIA,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"113","113",,Ambos,JOSE F. ESTIGARRIBIA,"2",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"114","114",,Ambos ,AV. S. OTTO SCHÄRER,"3",GRAL. DIAZ,SI,FALSO,,./0.png
"115","115",,Ambos,AV. S. OTTO SCHÄRER,"3",RODRIGUEZ DE FRANCIA,SI,FALSO,,./0.png
"116","116",,Ambos,AV. S. OTTO SCHÄRER,"3",CERRO CORA,SI,FALSO,,./0.png
"117","117",,Ambos,PAZ DEL CHACO,"2",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"118","118",,Ambos,PROF. CESAR SAMANIEGO,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"119","119",,Ambos,ROBERTO PERZOLDT,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"120","120",,Ambos,PROF. ELVIRA R. DE BALBUENA,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"121","121",,Ambos,FULGENCIO YEGROS,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"122","122",,DIRECCION UNICA OPUESTA AL LAGO,JULIO BÜTTNER,"2",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
"126","126",,Ambos ,AV. LUIS F. VACHE,"3",ROSA AMENDOLA,NO,FALSO,,./0.png
"128","128",,Ambos,15 DE AGOSTO,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"129","129",,Ambos,AV. LUIS F. VACHE,"3",15 DE AGOSTO,SI,FALSO,,./0.png
"130","130",,Ambos,AV. LUIS F. VACHE,"3",CARLOS G. CHRISTIAN HEISECKE H.,SI,FALSO,,./0.png
"140","140",,Ambos,ROBERTO PETZOLDT,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"141","141",,Ambos,AV. LUIS F. VACHE,"3",ROBERTO PETZOLDT,SI,FALSO,,./0.png
"142","142",,Ambos,AV. LUIS F. VACHE,"3",BICENTENARIO,SI,FALSO,,./0.png
"143","143",,Ambos,BICENTENARIO,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"144","144",,Ambos,PAZ DEL CHACO,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"145","145",,Ambos,AV. LUIS F. VACHE,"3",CERRO CORA,SI,FALSO,,./0.png
"146","146",,Ambos,CERRO CORA,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"147","147",,Ambos,RODRIGUEZ DE FRANCIA,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"148","148",,Ambos ,RODRIGUEZ DE FRANCIA,"2",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"149","149",,Ambos,JOSE F. EXTIGARRIBIA,"3",AV. LUIS F. VACHE,SI,FALSO,,./0.png
"150","150",,Ambos ,AV. LUIS F. VACHE,"3",JOSE F. ESTIGARRIBIA,SI,FALSO,,./0.png
